sample_id,image_file,side,roi_name,object_id,centroid_x,centroid_y,area_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,region
demo_image,demo_image.tif,right,CPu_R,563,6315.218717139853,2700.700315457413,951,2680,6301,2724,6330,dorsal
demo_image,demo_image.tif,right,CPu_R,566,6070.995970991136,2705.218372280419,1241,2681,6051,2730,6095,dorsal
demo_image,demo_image.tif,right,CPu_R,567,6090.81443298969,2699.261855670103,485,2682,6081,2719,6101,dorsal
demo_image,demo_image.tif,right,CPu_R,568,5547.9771929824565,2709.8245614035086,1140,2684,5531,2740,5566,dorsal
demo_image,demo_image.tif,right,CPu_R,570,6170.07556675063,2700.712846347607,397,2686,6163,2716,6179,dorsal
demo_image,demo_image.tif,right,CPu_R,572,6034.755070993915,2716.3286004056795,1972,2690,6011,2745,6059,dorsal
demo_image,demo_image.tif,right,CPu_R,574,5820.486466715435,2729.889539136796,1367,2691,5802,2757,5844,dorsal
demo_image,demo_image.tif,right,CPu_R,577,4735.74550241334,2724.606845107503,2279,2695,4710,2758,4761,dorsal
demo_image,demo_image.tif,right,CPu_R,578,4821.490096729618,2730.016121602948,2171,2696,4798,2766,4845,dorsal
demo_image,demo_image.tif,right,CPu_R,579,5094.329485329486,2727.000962000962,2079,2696,5069,2763,5122,dorsal
demo_image,demo_image.tif,right,CPu_R,580,6214.393700787402,2709.475065616798,381,2698,6203,2721,6226,dorsal
demo_image,demo_image.tif,right,CPu_R,581,5516.242344883159,2744.7566478646254,4964,2701,5480,2788,5557,dorsal
demo_image,demo_image.tif,right,CPu_R,584,5589.237215033888,2747.391866913124,3246,2705,5556,2781,5624,dorsal
demo_image,demo_image.tif,right,CPu_R,585,5773.486618004867,2730.4679643146796,1233,2707,5751,2757,5797,dorsal
demo_image,demo_image.tif,right,CPu_R,586,6298.041533546326,2725.591054313099,626,2707,6285,2744,6315,dorsal
demo_image,demo_image.tif,right,CPu_R,588,5979.293207800942,2736.651647612643,1487,2711,5957,2767,6002,dorsal
demo_image,demo_image.tif,right,CPu_R,589,5007.442006269593,2728.3119122257053,638,2712,4997,2747,5021,dorsal
demo_image,demo_image.tif,right,CPu_R,591,5040.8283847981,2741.8545130641332,1684,2714,5018,2771,5064,dorsal
demo_image,demo_image.tif,right,CPu_R,592,5935.832305795315,2738.9765721331687,1622,2714,5913,2765,5960,dorsal
demo_image,demo_image.tif,right,CPu_R,594,5748.4039030159665,2743.646954464814,1691,2717,5725,2774,5775,dorsal
demo_image,demo_image.tif,right,CPu_R,597,5167.237885462555,2747.4605971610376,2043,2723,5137,2776,5196,dorsal
demo_image,demo_image.tif,right,CPu_R,598,5862.921586715867,2745.0258302583024,1084,2723,5849,2769,5879,dorsal
demo_image,demo_image.tif,right,CPu_R,600,5404.946695095949,2749.8805970149256,938,2724,5391,2780,5419,dorsal
demo_image,demo_image.tif,right,CPu_R,601,6359.451371571073,2735.214463840399,401,2724,6348,2746,6371,dorsal
demo_image,demo_image.tif,right,CPu_R,603,5426.418024928092,2760.1610738255035,1043,2729,5413,2785,5443,dorsal
demo_image,demo_image.tif,right,CPu_R,604,5680.022490628905,2758.7642648896294,2401,2730,5654,2789,5708,dorsal
demo_image,demo_image.tif,right,CPu_R,605,6103.198630136986,2755.4383561643835,730,2731,6094,2789,6113,dorsal
demo_image,demo_image.tif,right,CPu_R,607,5353.07381370826,2753.079086115993,569,2734,5338,2779,5363,dorsal
demo_image,demo_image.tif,right,CPu_R,611,6022.936946902655,2757.6493362831857,904,2736,6009,2778,6039,dorsal
demo_image,demo_image.tif,right,CPu_R,613,6072.792667509481,2764.248419721871,1582,2737,6054,2793,6093,dorsal
demo_image,demo_image.tif,right,CPu_R,615,5335.191099476439,2769.5719895287957,1528,2738,5320,2798,5355,dorsal
demo_image,demo_image.tif,right,CPu_R,616,6172.045192307693,2759.714423076923,1040,2738,6159,2783,6186,dorsal
demo_image,demo_image.tif,right,CPu_R,617,6298.760956175299,2748.9043824701193,502,2738,6284,2763,6313,dorsal
demo_image,demo_image.tif,right,CPu_R,618,4811.724258289703,2776.119371727749,2865,2739,4782,2815,4843,dorsal
demo_image,demo_image.tif,right,CPu_R,619,6121.137971698113,2759.619103773585,848,2739,6109,2783,6136,dorsal
demo_image,demo_image.tif,right,CPu_R,620,5802.361305361305,2760.27972027972,858,2740,5786,2782,5817,dorsal
demo_image,demo_image.tif,right,CPu_R,621,5248.877869605142,2759.8512396694214,1089,2741,5226,2780,5273,dorsal
demo_image,demo_image.tif,right,CPu_R,623,6323.098605577689,2766.81374501992,1004,2742,6310,2791,6337,dorsal
demo_image,demo_image.tif,right,CPu_R,624,5096.624677336086,2772.257098606092,1937,2743,5073,2801,5121,dorsal
demo_image,demo_image.tif,right,CPu_R,626,5375.113309352518,2768.69154676259,1112,2744,5362,2793,5391,dorsal
demo_image,demo_image.tif,right,CPu_R,627,5202.257218844985,2785.1728723404253,2632,2748,5174,2821,5228,dorsal
demo_image,demo_image.tif,right,CPu_R,629,5454.880469583778,2766.4493062966917,937,2749,5439,2789,5471,dorsal
demo_image,demo_image.tif,right,CPu_R,630,6218.896030245746,2763.86011342155,529,2750,6204,2778,6234,dorsal
demo_image,demo_image.tif,right,CPu_R,631,5157.38923737207,2799.336084516342,3029,2757,5131,2837,5186,dorsal
